ID ,Total_Assets_Turnover_Ratio,SAS_name
22,0.9,Beijing Shi
28,1.55,Tianjin Shi
10,0.95,Hebei Sheng
24,0.92,Shanxi Sheng
20,0.96,Nei Mongol Zizhiqu
19,1.19,Liaoning Sheng
5,1.31,Jilin Sheng
8,0.77,Heilongjiang Sheng
23,1.31,Shanghai Shi
4,1.64,Jiangsu Sheng
2,0.86,Zhejiang Sheng
1,1.06,Anhui Sheng
7,1.54,Fujian Sheng
3,1.55,Jiangxi Sheng
25,1.77,Shandong Sheng
9,1.4,Henan Sheng
12,1.02,Hubei Sheng
11,2.07,Hunan Sheng
30,1.36,Guangdong Sheng
16,1.9,Guangxi Zhuangzu Zizhiqu
31,0.56,Hainan Sheng
33,1.67,Chongqing Shi
32,1.1,Sichuan Sheng
18,0.76,Guizhou Sheng
29,0.67,Yunnan Sheng
14,0.45,Xizang Zizhiqu
26,0.71,Shaanxi Sheng
15,0.51,Gansu Sheng
6,0.49,Qinghai Sheng
21,0.37,Ningxia Huizu Zizhiqu
13,0.43,Xinjiang Uygur Zizhiqu
